,Position,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
0, 12.99 1 -13.615,0,11.35914,9.055982,2.712391,2.738453,5.079136,7.259929,9.692444
1, 12.99 1 -13.315,0,11.15648,8.933027,2.614286,2.46483,4.833202,6.959935,9.435837
2, 12.99 1 -13.015,0,10.95829,8.818569,2.547924,2.198101,4.593699,6.659941,9.181859
3, 12.99 1 -12.715,0,10.7648,8.712942,2.515818,1.94111,4.361684,6.359948,8.930737
4, 12.77787 1 -12.50287,7,10.4662,8.442702,2.302582,1.902942,4.062644,6.149918,8.636763
5, 12.56573 1 -12.29074,7,10.16767,8.174539,2.110552,1.911667,3.763756,5.947608,8.343217
6, 12.3536 1 -12.0786,7,9.869236,7.908662,1.946015,1.966661,3.465061,5.753833,8.050147
7, 12.14147 1 -11.86647,7,9.570898,7.645313,1.816458,2.064228,3.166613,5.569484,7.757607
8, 12.14147 1 -11.56647,0,9.385531,7.568891,1.956033,1.9714,2.93918,5.272798,7.504739
9, 12.14147 1 -11.26647,0,9.206211,7.503693,2.128993,1.921405,2.725824,4.976509,7.255464
10, 12.14147 1 -10.96647,0,9.033296,7.450015,2.327908,1.917597,2.53011,4.680693,7.010164
11, 12.14147 1 -10.66647,0,8.867162,7.408105,2.546704,1.960244,2.356437,4.385445,6.769273
12, 12.14147 1 -10.36647,0,8.708196,7.378166,2.780692,2.046445,2.210008,4.090889,6.533277
13, 12.14147 1 -10.06647,0,8.556798,7.360342,3.02635,2.171018,2.096539,3.797185,6.302726
14, 11.92934 1 -9.854337,7,8.268176,7.142981,3.100809,2.459732,1.833015,3.643466,6.003634
15, 11.92934 1 -9.554337,0,8.127492,7.146101,3.368804,2.623536,1.782853,3.356393,5.778543
16, 11.92934 1 -9.254336,0,7.995594,7.161798,3.641794,2.809911,1.782466,3.071791,5.56053
17, 11.92934 1 -8.954336,0,7.872923,7.189988,3.918736,3.014674,1.831885,2.790416,5.35046
18, 11.92934 1 -8.654336,0,7.759917,7.230526,4.198847,3.234335,1.927284,2.513354,5.149306
19, 11.92934 1 -8.354336,0,7.657004,7.283206,4.481534,3.466062,2.062291,2.242203,4.958153
20, 11.92934 1 -8.054336,0,7.564596,7.347767,4.766337,3.707593,2.229723,1.979394,4.778202
21, 11.71721 1 -7.842204,7,7.301421,7.195895,4.910995,4.003359,2.209029,1.928188,4.482652
22, 11.50507 1 -7.630072,7,7.041191,7.053518,5.069296,4.299712,2.228891,1.922972,4.187735
23, 11.29294 1 -7.41794,7,6.784246,6.921224,5.240006,4.596538,2.288253,1.964111,3.893595
24, 11.08081 1 -7.205808,7,6.530974,6.799599,5.421952,4.893751,2.384166,2.048816,3.600422
25, 10.86868 1 -6.993676,7,6.281819,6.689228,5.614041,5.191284,2.512447,2.171994,3.308473
26, 10.65654 1 -6.781544,7,6.037291,6.590674,5.815269,5.489087,2.668433,2.327546,3.018104
27, 10.35654 1 -6.781544,6,5.740988,6.32496,5.81375,5.679711,2.628386,2.623046,2.76164
28, 10.05654 1 -6.781544,6,5.445091,6.062445,5.827694,5.879469,2.622268,2.919465,2.514828
29, 9.756542 1 -6.781544,6,5.149669,5.803565,5.856991,6.087463,2.650314,3.216547,2.280803
30, 9.456542 1 -6.781544,6,4.854808,5.548829,5.901413,6.302876,2.711464,3.514126,2.06392
31, 9.156542 1 -6.781544,6,4.560618,5.298832,5.960621,6.524975,2.803554,3.812084,1.870153
32, 8.856542 1 -6.781544,6,4.267237,5.054281,6.034181,6.753098,2.923661,4.110339,1.707389
33, 8.556541 1 -6.781544,6,3.974844,4.816002,6.121574,6.986658,3.068496,4.408831,1.585207
34, 8.256541 1 -6.781544,6,3.683675,4.584977,6.222218,7.225125,3.23474,4.707514,1.513469
35, 7.956541 1 -6.781544,6,3.394044,4.362355,6.335482,7.46803,3.419272,5.006355,1.499431
36, 7.656541 1 -6.781544,6,3.106382,4.14949,6.460701,7.714954,3.619296,5.305327,1.544668
37, 7.356541 1 -6.781544,6,2.821291,3.947961,6.597196,7.965524,3.832385,5.604409,1.644295
38, 7.05654 1 -6.781544,6,2.539637,3.759591,6.744281,8.219404,4.056483,5.903584,1.789249
39, 6.75654 1 -6.781544,6,2.262704,3.586454,6.901279,8.4763,4.289864,6.202839,1.969548
40, 6.45654 1 -6.781544,6,1.992462,3.430858,7.06753,8.735944,4.531094,6.502162,2.176425
41, 6.15654 1 -6.781544,6,1.732046,3.295287,7.242397,8.998097,4.778984,6.801546,2.403026
42, 5.85654 1 -6.781544,6,1.486626,3.182302,7.425271,9.262548,5.032551,7.100981,2.644284
43, 5.55654 1 -6.781544,6,1.264964,3.094378,7.615575,9.529105,5.290978,7.400462,2.896541
44, 5.256539 1 -6.781544,6,1.081762,3.033695,7.812766,9.797597,5.553587,7.699983,3.15716
45, 5.044407 1 -6.569412,7,0.7930129,3.219559,8.112351,10.08189,5.841361,7.903206,3.256016
46, 4.832275 1 -6.35728,7,0.5172324,3.421668,8.411965,10.36707,6.130308,8.112435,3.378702
